Reference,DOI,Species,Lower,Upper
Evans 1947a,10.2307/2256720,Steromphala umbilicalis,-0.116616638,3.058673482
Evans 1947a,10.2307/2256720,Steromphala cineraria,NA,0.98849825
Evans 1947b,10.1017/S0025315400014168,Steromphala umbilicalis,0.582871691,3.374691645
Evans 1947b,10.1017/S0025315400014168,Steromphala umbilicalis,0.022802771,3.414582955
Evans 1947b,10.1017/S0025315400014168,Steromphala umbilicalis,-0.091705984,3.751473822
Evans 1947b,10.1017/S0025315400014168,Steromphala umbilicalis,0.084664771,3.535764424
Evans 1947b,10.1017/S0025315400014168,Steromphala umbilicalis,-0.137004613,3.189375074
Evans 1947b,10.1017/S0025315400014168,Steromphala cineraria,NA,0.79811758
Evans 1947b,10.1017/S0025315400014168,Steromphala cineraria,NA,0.909208462
Evans 1947b,10.1017/S0025315400014168,Steromphala cineraria,NA,1.382599315
Evans 1947b,10.1017/S0025315400014168,Steromphala cineraria,NA,0.982749966
Evans 1947b,10.1017/S0025315400014168,Steromphala cineraria,NA,0.915600789
Evans 1947b,10.1017/S0025315400014168,Steromphala cineraria,NA,1.507691247
Colman 1933,10.1017/s0025315400043794,Steromphala umbilicalis,0.13359199,3.365832938
Colman 1933,10.1017/s0025315400043794,Steromphala cineraria,NA,1.983339083
Smith 1969,http://etheses.dur.ac.uk/10417,Steromphala umbilicalis,1.792255849,4.200159843
Smith 1969,http://etheses.dur.ac.uk/10417,Steromphala umbilicalis,1.697348901,5.085021064
Smith 1969,http://etheses.dur.ac.uk/10417,Steromphala umbilicalis,2.246973587,5.101094997
Smith 1969,http://etheses.dur.ac.uk/10417,Steromphala umbilicalis,1.708341818,4.907142833
Smith 1969,http://etheses.dur.ac.uk/10417,Steromphala cineraria,NA,2.13784391
Smith 1969,http://etheses.dur.ac.uk/10417,Steromphala cineraria,NA,1.830510931
Smith 1969,http://etheses.dur.ac.uk/10417,Steromphala cineraria,NA,1.704980362
Smith 1969,http://etheses.dur.ac.uk/10417,Steromphala cineraria,NA,2.308915013
Underwood 1973,10.2307/3290,Steromphala umbilicalis,1.313459848,2.92354006
Underwood 1973,10.2307/3290,Steromphala cineraria,NA,1.26267456