site,date,species,original,adjusted
Xwejni,05.06.21,Phorcus turbinatus,2,12.5
Xwejni,05.06.21,Phorcus turbinatus,1,6.25
Xwejni,05.06.21,Phorcus turbinatus,4,25
Xwejni,05.06.21,Phorcus turbinatus,1,6.25
Xwejni,05.06.21,Phorcus turbinatus,6,37.5
Xwejni,05.06.21,Phorcus turbinatus,2,12.5
Xwejni,05.06.21,Phorcus turbinatus,1,6.25
Xwejni,05.06.21,Phorcus turbinatus,2,12.5
Xwejni,05.06.21,Phorcus turbinatus,1,6.25
Xwejni,05.06.21,Phorcus turbinatus,0,0
Xwejni,05.06.21,Phorcus turbinatus,7,43.75
Xwejni,05.06.21,Phorcus turbinatus,0,0
Xwejni,05.06.21,Phorcus turbinatus,6,37.5
Xwejni,05.06.21,Phorcus turbinatus,0,0
Xwejni,05.06.21,Phorcus turbinatus,0,0
Xwejni,05.06.21,Phorcus turbinatus,0,0
Xwejni,05.06.21,Phorcus turbinatus,0,0
Xwejni,05.06.21,Phorcus turbinatus,4,25
Xwejni,05.06.21,Phorcus turbinatus,7,43.75
Xwejni,05.06.21,Phorcus turbinatus,5,31.25
Xwejni,05.06.21,Phorcus turbinatus,5,31.25
Xwejni,05.06.21,Phorcus turbinatus,5,31.25
Xwejni,05.06.21,Phorcus turbinatus,2,12.5
Xwejni,05.06.21,Phorcus turbinatus,4,25
Xwejni,05.06.21,Phorcus turbinatus,3,18.75
Xwejni,05.06.21,Phorcus turbinatus,9,56.25
Xwejni,05.06.21,Phorcus turbinatus,9,56.25
Xwejni,05.06.21,Phorcus turbinatus,13,81.25
Xwejni,05.06.21,Phorcus turbinatus,5,31.25
Xwejni,05.06.21,Phorcus turbinatus,4,25
Xwejni,05.06.21,Phorcus turbinatus,6,37.5
Xwejni,05.06.21,Phorcus turbinatus,3,18.75
Xwejni,05.06.21,Phorcus turbinatus,7,43.75
Xwejni,05.06.21,Phorcus turbinatus,3,18.75
Xwejni,05.06.21,Phorcus turbinatus,3,18.75
Xwejni,05.06.21,Phorcus turbinatus,3,18.75
Xwejni,05.06.21,Phorcus turbinatus,2,12.5
Xwejni,05.06.21,Phorcus turbinatus,2,12.5
Xwejni,05.06.21,Phorcus turbinatus,4,25
Xwejni,05.06.21,Phorcus turbinatus,2,12.5
Xwejni,05.06.21,Phorcus turbinatus,4,25
Xwejni,05.06.21,Phorcus turbinatus,6,37.5
Xwejni,05.06.21,Phorcus turbinatus,9,56.25
Xwejni,05.06.21,Phorcus turbinatus,6,37.5
Xwejni,05.06.21,Phorcus turbinatus,1,6.25
Xwejni,05.06.21,Phorcus turbinatus,0,0
Xwejni,05.06.21,Phorcus turbinatus,6,37.5
Xwejni,05.06.21,Phorcus turbinatus,5,31.25
Xwejni,06.06.21,Phorcus turbinatus,1,6.25
Xwejni,06.06.21,Phorcus turbinatus,3,18.75
Xwejni,06.06.21,Phorcus turbinatus,4,25
Xwejni,06.06.21,Phorcus turbinatus,0,0
Xwejni,06.06.21,Phorcus turbinatus,1,6.25
Xwejni,06.06.21,Phorcus turbinatus,5,31.25
Xwejni,06.06.21,Phorcus turbinatus,5,31.25
Xwejni,06.06.21,Phorcus turbinatus,8,50
Xwejni,06.06.21,Phorcus turbinatus,1,6.25
Xwejni,06.06.21,Phorcus turbinatus,0,0
Xwejni,06.06.21,Phorcus turbinatus,0,0
Xwejni,06.06.21,Phorcus turbinatus,2,12.5
Xwejni,06.06.21,Phorcus turbinatus,0,0
Xwejni,06.06.21,Phorcus turbinatus,5,31.25
Xwejni,06.06.21,Phorcus turbinatus,3,18.75
Xwejni,06.06.21,Phorcus turbinatus,1,6.25
Xwejni,06.06.21,Phorcus turbinatus,1,6.25
Xwejni,06.06.21,Phorcus turbinatus,1,6.25
Xwejni,06.06.21,Phorcus turbinatus,4,25
Xwejni,06.06.21,Phorcus turbinatus,4,25
Xwejni,06.06.21,Phorcus turbinatus,2,12.5
Xwejni,06.06.21,Phorcus turbinatus,4,25
Xwejni,06.06.21,Phorcus turbinatus,2,12.5
Xwejni,06.06.21,Phorcus turbinatus,3,18.75
Xwejni,06.06.21,Phorcus turbinatus,1,6.25
Xwejni,06.06.21,Phorcus turbinatus,1,6.25
Xwejni,06.06.21,Phorcus turbinatus,6,37.5
Xwejni,10.06.21,Phorcus turbinatus,7,43.75
Xwejni,10.06.21,Phorcus turbinatus,1,6.25
Xwejni,10.06.21,Phorcus turbinatus,0,0
Xwejni,10.06.21,Phorcus turbinatus,0,0
Xwejni,10.06.21,Phorcus turbinatus,0,0
Xwejni,10.06.21,Phorcus turbinatus,1,6.25
Xwejni,10.06.21,Phorcus turbinatus,1,6.25
Xwejni,10.06.21,Phorcus turbinatus,0,0
Xwejni,10.06.21,Phorcus turbinatus,1,6.25
Xwejni,10.06.21,Phorcus turbinatus,4,25
Xwejni,10.06.21,Phorcus turbinatus,1,6.25
Xwejni,10.06.21,Phorcus turbinatus,2,12.5
Xwejni,10.06.21,Phorcus turbinatus,2,12.5
Xwejni,10.06.21,Phorcus turbinatus,3,18.75
Xwejni,10.06.21,Phorcus turbinatus,3,18.75
Xwejni,10.06.21,Phorcus turbinatus,1,6.25
Xwejni,10.06.21,Phorcus turbinatus,1,6.25
Xwejni,10.06.21,Phorcus turbinatus,1,6.25
Xwejni,10.06.21,Phorcus turbinatus,4,25
Xwejni,10.06.21,Phorcus turbinatus,2,12.5
Xwejni,10.06.21,Phorcus turbinatus,2,12.5
Xwejni,10.06.21,Phorcus turbinatus,3,18.75
Xwejni,10.06.21,Phorcus turbinatus,2,12.5
Xwejni,10.06.21,Phorcus turbinatus,2,12.5
Xwejni,10.06.21,Phorcus turbinatus,1,6.25
Dwejra,10.06.21,Phorcus turbinatus,5,31.25
Dwejra,10.06.21,Phorcus turbinatus,5,31.25
Dwejra,10.06.21,Phorcus turbinatus,10,62.5
Dwejra,10.06.21,Phorcus turbinatus,6,37.5
Dwejra,10.06.21,Phorcus turbinatus,8,50
Dwejra,10.06.21,Phorcus turbinatus,6,37.5
Dwejra,10.06.21,Phorcus turbinatus,3,18.75
Dwejra,10.06.21,Phorcus turbinatus,4,25
Dwejra,10.06.21,Phorcus turbinatus,4,25
Dwejra,10.06.21,Phorcus turbinatus,6,37.5
Dwejra,10.06.21,Phorcus turbinatus,5,31.25
Dwejra,12.06.21,Phorcus turbinatus,5,31.25
Dwejra,12.06.21,Phorcus turbinatus,10,62.5
Dwejra,12.06.21,Phorcus turbinatus,9,56.25
Dwejra,12.06.21,Phorcus turbinatus,10,62.5
Dwejra,12.06.21,Phorcus turbinatus,12,75
Dwejra,12.06.21,Phorcus turbinatus,19,118.75
Dwejra,12.06.21,Phorcus turbinatus,15,93.75
Dwejra,12.06.21,Phorcus turbinatus,17,106.25
Dwejra,12.06.21,Phorcus turbinatus,7,43.75
Dwejra,12.06.21,Phorcus turbinatus,13,81.25
Dwejra,12.06.21,Phorcus turbinatus,8,50
Dwejra,12.06.21,Phorcus turbinatus,5,31.25
Dwejra,12.06.21,Phorcus turbinatus,10,62.5
Dwejra,12.06.21,Phorcus turbinatus,8,50
Dwejra,12.06.21,Phorcus turbinatus,5,31.25
Dwejra,12.06.21,Phorcus turbinatus,10,62.5
Dwejra,12.06.21,Phorcus turbinatus,1,6.25
Dwejra,12.06.21,Phorcus turbinatus,5,31.25
Dwejra,12.06.21,Phorcus turbinatus,1,6.25
Dwejra,12.06.21,Phorcus turbinatus,2,12.5
Dwejra,12.06.21,Phorcus turbinatus,2,12.5
Dwejra,12.06.21,Phorcus turbinatus,4,25
Dwejra,12.06.21,Phorcus turbinatus,5,31.25
Dwejra,15.06.21,Phorcus turbinatus,14,87.5
Dwejra,15.06.21,Phorcus turbinatus,21,131.25
Dwejra,15.06.21,Phorcus turbinatus,20,125
Dwejra,15.06.21,Phorcus turbinatus,27,168.75
Dwejra,15.06.21,Phorcus turbinatus,12,75
Dwejra,15.06.21,Phorcus turbinatus,14,87.5
Dwejra,15.06.21,Phorcus turbinatus,8,50
Dwejra,15.06.21,Phorcus turbinatus,5,31.25
Dwejra,15.06.21,Phorcus turbinatus,6,37.5
Dwejra,15.06.21,Phorcus turbinatus,11,68.75
Dwejra,15.06.21,Phorcus turbinatus,16,100
Dwejra,15.06.21,Phorcus turbinatus,6,37.5
Dwejra,15.06.21,Phorcus turbinatus,5,31.25
Dwejra,15.06.21,Phorcus turbinatus,8,50
Dwejra,15.06.21,Phorcus turbinatus,9,56.25
Dwejra,15.06.21,Phorcus turbinatus,11,68.75
Dwejra,15.06.21,Phorcus turbinatus,8,50
Dwejra,15.06.21,Phorcus turbinatus,13,81.25
Dwejra,15.06.21,Phorcus turbinatus,3,18.75
Dwejra,15.06.21,Phorcus turbinatus,2,12.5
Dwejra,15.06.21,Phorcus turbinatus,11,68.75
Dwejra,15.06.21,Phorcus turbinatus,13,81.25
Dwejra,15.06.21,Phorcus turbinatus,1,6.25
Dwejra,15.06.21,Phorcus turbinatus,17,106.25
Dwejra,15.06.21,Phorcus turbinatus,15,93.75
Dwejra,15.06.21,Phorcus turbinatus,12,75
Dwejra,15.06.21,Phorcus turbinatus,13,81.25
Dwejra,19.06.21,Phorcus turbinatus,4,25
Dwejra,19.06.21,Phorcus turbinatus,1,6.25
Dwejra,19.06.21,Phorcus turbinatus,4,25
Dwejra,19.06.21,Phorcus turbinatus,9,56.25
Dwejra,19.06.21,Phorcus turbinatus,0,0
Dwejra,19.06.21,Phorcus turbinatus,0,0
Dwejra,19.06.21,Phorcus turbinatus,3,18.75
Dwejra,19.06.21,Phorcus turbinatus,5,31.25
Dwejra,19.06.21,Phorcus turbinatus,6,37.5
Dwejra,19.06.21,Phorcus turbinatus,5,31.25
Dwejra,19.06.21,Phorcus turbinatus,1,6.25
Dwejra,19.06.21,Phorcus turbinatus,4,25
Dwejra,19.06.21,Phorcus turbinatus,2,12.5
Dwejra,19.06.21,Phorcus turbinatus,4,25
Dwejra,19.06.21,Phorcus turbinatus,2,12.5
Dwejra,19.06.21,Phorcus turbinatus,6,37.5
Dwejra,19.06.21,Phorcus turbinatus,20,125
Dwejra,19.06.21,Phorcus turbinatus,22,137.5
Dwejra,19.06.21,Phorcus turbinatus,14,87.5
Dwejra,19.06.21,Phorcus turbinatus,31,193.75
Dwejra,19.06.21,Phorcus turbinatus,2,12.5
Dwejra,19.06.21,Phorcus turbinatus,10,62.5
Dwejra,19.06.21,Phorcus turbinatus,7,43.75
Dwejra,19.06.21,Phorcus turbinatus,10,62.5
Dwejra,19.06.21,Phorcus turbinatus,11,68.75
Dwejra,19.06.21,Phorcus turbinatus,5,31.25
Dwejra,19.06.21,Phorcus turbinatus,7,43.75
Dwejra,19.06.21,Phorcus turbinatus,5,31.25
Dwejra,19.06.21,Phorcus turbinatus,5,31.25
Dwejra,19.06.21,Phorcus turbinatus,10,62.5
Dwejra,19.06.21,Phorcus turbinatus,8,50
Dwejra,19.06.21,Phorcus turbinatus,9,56.25
Dwejra,19.06.21,Phorcus turbinatus,10,62.5
Dwejra,19.06.21,Phorcus turbinatus,6,37.5
Dwejra,19.06.21,Phorcus turbinatus,0,0
Dwejra,19.06.21,Phorcus turbinatus,0,0
Dwejra,19.06.21,Phorcus turbinatus,7,43.75
Dwejra,19.06.21,Phorcus turbinatus,8,50
Dwejra,19.06.21,Phorcus turbinatus,16,100
Ras,16.06.21,Phorcus turbinatus,7,43.75
Ras,16.06.21,Phorcus turbinatus,29,181.25
Ras,16.06.21,Phorcus turbinatus,33,206.25
Ras,16.06.21,Phorcus turbinatus,44,275
Ras,16.06.21,Phorcus turbinatus,16,100
Ras,16.06.21,Phorcus turbinatus,27,168.75
Ras,16.06.21,Phorcus turbinatus,27,168.75
Ras,16.06.21,Phorcus turbinatus,9,56.25
Ras,16.06.21,Phorcus turbinatus,6,37.5
Ras,16.06.21,Phorcus turbinatus,10,62.5
Ras,16.06.21,Phorcus turbinatus,6,37.5
Ras,16.06.21,Phorcus turbinatus,12,75
Ras,16.06.21,Phorcus turbinatus,10,62.5
Ras,16.06.21,Phorcus turbinatus,20,125
Ras,16.06.21,Phorcus turbinatus,28,175
Ras,16.06.21,Phorcus turbinatus,38,237.5
Ras,16.06.21,Phorcus turbinatus,22,137.5
Ras,16.06.21,Phorcus turbinatus,6,37.5
Ras,16.06.21,Phorcus turbinatus,21,131.25
Ras,17.06.21,Phorcus turbinatus,6,37.5
Ras,17.06.21,Phorcus turbinatus,3,18.75
Ras,17.06.21,Phorcus turbinatus,25,156.25
Ras,17.06.21,Phorcus turbinatus,9,56.25
Ras,17.06.21,Phorcus turbinatus,11,68.75
Ras,17.06.21,Phorcus turbinatus,11,68.75
Ras,17.06.21,Phorcus turbinatus,8,50
Ras,17.06.21,Phorcus turbinatus,11,68.75
Ras,17.06.21,Phorcus turbinatus,6,37.5
Ras,17.06.21,Phorcus turbinatus,3,18.75
Ras,17.06.21,Phorcus turbinatus,12,75
Ras,17.06.21,Phorcus turbinatus,14,87.5
Ras,17.06.21,Phorcus turbinatus,5,31.25
Ras,17.06.21,Phorcus turbinatus,12,75
Ras,17.06.21,Phorcus turbinatus,13,81.25
Ras,17.06.21,Phorcus turbinatus,15,93.75
Ras,17.06.21,Phorcus turbinatus,5,31.25
Ras,17.06.21,Phorcus turbinatus,3,18.75
Ras,17.06.21,Phorcus turbinatus,2,12.5
Ras,17.06.21,Phorcus turbinatus,4,25
Ras,17.06.21,Phorcus turbinatus,3,18.75
Ras,17.06.21,Phorcus turbinatus,42,262.5
Ras,17.06.21,Phorcus turbinatus,8,50
Ras,17.06.21,Phorcus turbinatus,10,62.5
Ras,17.06.21,Phorcus turbinatus,7,43.75
Ras,17.06.21,Phorcus turbinatus,15,93.75
Ras,17.06.21,Phorcus turbinatus,8,50
Ras,17.06.21,Phorcus turbinatus,11,68.75
Ras,17.06.21,Phorcus turbinatus,19,118.75
Ras,17.06.21,Phorcus turbinatus,30,187.5
Ras,17.06.21,Phorcus turbinatus,13,81.25
Ras,17.06.21,Phorcus turbinatus,19,118.75
Ras,17.06.21,Phorcus turbinatus,22,137.5
Ras,17.06.21,Phorcus turbinatus,28,175
Ras,17.06.21,Phorcus turbinatus,51,318.75
Ras,17.06.21,Phorcus turbinatus,81,506.25
Ras,17.06.21,Phorcus turbinatus,14,87.5
Ras,17.06.21,Phorcus turbinatus,28,175
Ras,17.06.21,Phorcus turbinatus,17,106.25
Ras,17.06.21,Phorcus turbinatus,13,81.25
Ras,17.06.21,Phorcus turbinatus,15,93.75
Ras,17.06.21,Phorcus turbinatus,9,56.25
Ras,17.06.21,Phorcus turbinatus,10,62.5
Ras,17.06.21,Phorcus turbinatus,3,18.75
Ras,17.06.21,Phorcus turbinatus,7,43.75
Ras,17.06.21,Phorcus turbinatus,19,118.75
Ras,17.06.21,Phorcus turbinatus,11,68.75
Ras,17.06.21,Phorcus turbinatus,11,68.75
Ras,17.06.21,Phorcus turbinatus,1,6.25
Ras,17.06.21,Phorcus turbinatus,7,43.75
Ras,17.06.21,Phorcus turbinatus,9,56.25
Ras,17.06.21,Phorcus turbinatus,32,200
Ras,17.06.21,Phorcus turbinatus,14,87.5
Ras,17.06.21,Phorcus turbinatus,21,131.25
Ras,17.06.21,Phorcus turbinatus,26,162.5
Ras,17.06.21,Phorcus turbinatus,5,31.25
Ras,17.06.21,Phorcus turbinatus,51,318.75
Ras,17.06.21,Phorcus turbinatus,34,212.5
Ras,17.06.21,Phorcus turbinatus,24,150
Ras,17.06.21,Phorcus turbinatus,20,125
Ras,17.06.21,Phorcus turbinatus,33,206.25
Ras,17.06.21,Phorcus turbinatus,28,175
Ras,17.06.21,Phorcus turbinatus,35,218.75
Ras,17.06.21,Phorcus turbinatus,62,387.5
Ras,17.06.21,Phorcus turbinatus,16,100
Ras,17.06.21,Phorcus turbinatus,23,143.75
Ras,19.06.21,Phorcus turbinatus,27,168.75
Ras,19.06.21,Phorcus turbinatus,15,93.75
Ras,19.06.21,Phorcus turbinatus,20,125
Ras,19.06.21,Phorcus turbinatus,22,137.5
Ras,19.06.21,Phorcus turbinatus,16,100
Ras,19.06.21,Phorcus turbinatus,37,231.25
Ras,19.06.21,Phorcus turbinatus,18,112.5
Ras,19.06.21,Phorcus turbinatus,11,68.75
Ras,19.06.21,Phorcus turbinatus,33,206.25
Ras,19.06.21,Phorcus turbinatus,30,187.5
Ras,19.06.21,Phorcus turbinatus,13,81.25
Ras,19.06.21,Phorcus turbinatus,21,131.25
Ras,19.06.21,Phorcus turbinatus,24,150
Ras,19.06.21,Phorcus turbinatus,25,156.25
Ras,19.06.21,Phorcus turbinatus,11,68.75
Ras,17.06.21,Stramonita haemastoma,1,6.25
Ras,17.06.21,Stramonita haemastoma,1,6.25
Ras,17.06.21,Stramonita haemastoma,0,0
Ras,17.06.21,Stramonita haemastoma,0,0
Ras,17.06.21,Stramonita haemastoma,2,12.5
Ras,17.06.21,Stramonita haemastoma,3,18.75
Ras,17.06.21,Stramonita haemastoma,1,6.25
Ras,17.06.21,Stramonita haemastoma,1,6.25
Ras,17.06.21,Stramonita haemastoma,1,6.25
Ras,17.06.21,Stramonita haemastoma,0,0
Ras,17.06.21,Stramonita haemastoma,1,6.25
Ras,17.06.21,Stramonita haemastoma,0,0
Ras,17.06.21,Stramonita haemastoma,1,6.25
Ras,17.06.21,Stramonita haemastoma,0,0
Ras,17.06.21,Stramonita haemastoma,1,6.25
Ras,17.06.21,Stramonita haemastoma,0,0
Ras,17.06.21,Stramonita haemastoma,2,12.5
Ras,17.06.21,Stramonita haemastoma,1,6.25
Ras,17.06.21,Stramonita haemastoma,0,0
Ras,17.06.21,Stramonita haemastoma,2,12.5
Ras,17.06.21,Stramonita haemastoma,2,12.5
Ras,17.06.21,Stramonita haemastoma,5,31.25
Ras,17.06.21,Stramonita haemastoma,1,6.25
Ras,17.06.21,Stramonita haemastoma,1,6.25
Ras,17.06.21,Stramonita haemastoma,2,12.5
Ras,17.06.21,Stramonita haemastoma,1,6.25
Ras,17.06.21,Stramonita haemastoma,1,6.25
Ras,17.06.21,Stramonita haemastoma,1,6.25
Ras,17.06.21,Stramonita haemastoma,1,6.25
Ras,17.06.21,Stramonita haemastoma,5,31.25
Ras,17.06.21,Stramonita haemastoma,3,18.75
Ras,17.06.21,Stramonita haemastoma,1,6.25
Ras,17.06.21,Stramonita haemastoma,1,6.25
Ras,17.06.21,Stramonita haemastoma,2,12.5
Ras,17.06.21,Stramonita haemastoma,1,6.25
Ras,17.06.21,Stramonita haemastoma,0,0
Ras,17.06.21,Stramonita haemastoma,0,0
Ras,17.06.21,Stramonita haemastoma,1,6.25
Ras,17.06.21,Stramonita haemastoma,1,6.25
Ras,17.06.21,Stramonita haemastoma,3,18.75
Ras,18.06.21,Stramonita haemastoma,2,12.5
Ras,18.06.21,Stramonita haemastoma,1,6.25
Ras,18.06.21,Stramonita haemastoma,0,0
Ras,18.06.21,Stramonita haemastoma,2,12.5
Ras,18.06.21,Stramonita haemastoma,3,18.75
Ras,18.06.21,Stramonita haemastoma,2,12.5
Ras,18.06.21,Stramonita haemastoma,1,6.25
Ras,18.06.21,Stramonita haemastoma,0,0
Ras,18.06.21,Stramonita haemastoma,0,0
Ras,18.06.21,Stramonita haemastoma,1,6.25
Ras,18.06.21,Stramonita haemastoma,0,0
Ras,18.06.21,Stramonita haemastoma,0,0
Ras,18.06.21,Stramonita haemastoma,0,0
Ras,18.06.21,Stramonita haemastoma,1,6.25
Ras,18.06.21,Stramonita haemastoma,0,0
Ras,18.06.21,Stramonita haemastoma,3,18.75
Ras,18.06.21,Stramonita haemastoma,0,0
Ras,18.06.21,Stramonita haemastoma,1,6.25
Ras,18.06.21,Stramonita haemastoma,2,12.5
Ras,18.06.21,Stramonita haemastoma,3,18.75
Ras,18.06.21,Stramonita haemastoma,2,12.5
Ras,18.06.21,Stramonita haemastoma,0,0
Ras,18.06.21,Stramonita haemastoma,2,12.5
Ras,18.06.21,Stramonita haemastoma,0,0
Ras,18.06.21,Stramonita haemastoma,2,12.5
Ras,18.06.21,Stramonita haemastoma,3,18.75
Ras,18.06.21,Stramonita haemastoma,1,6.25
Ras,18.06.21,Stramonita haemastoma,0,0
Ras,18.06.21,Stramonita haemastoma,2,12.5
Ras,18.06.21,Stramonita haemastoma,4,25
Ras,18.06.21,Stramonita haemastoma,2,12.5
Ras,18.06.21,Stramonita haemastoma,1,6.25
Ras,18.06.21,Stramonita haemastoma,1,6.25
Ras,18.06.21,Stramonita haemastoma,0,0
Ras,18.06.21,Stramonita haemastoma,2,12.5
Ras,18.06.21,Stramonita haemastoma,1,6.25
Ras,18.06.21,Stramonita haemastoma,3,18.75
Ras,18.06.21,Stramonita haemastoma,4,25
Ras,18.06.21,Stramonita haemastoma,3,18.75
Ras,18.06.21,Stramonita haemastoma,2,12.5
Ras,18.06.21,Stramonita haemastoma,5,31.25
Ras,18.06.21,Stramonita haemastoma,1,6.25
Ras,18.06.21,Stramonita haemastoma,4,25
Ras,18.06.21,Stramonita haemastoma,2,12.5
Ras,18.06.21,Stramonita haemastoma,0,0
Ras,18.06.21,Stramonita haemastoma,1,6.25
Ras,18.06.21,Stramonita haemastoma,1,6.25
Ras,18.06.21,Stramonita haemastoma,2,12.5
Ras,18.06.21,Stramonita haemastoma,1,6.25
Ras,18.06.21,Stramonita haemastoma,1,6.25
Ras,18.06.21,Stramonita haemastoma,1,6.25
Ras,18.06.21,Stramonita haemastoma,0,0
Ras,18.06.21,Stramonita haemastoma,0,0
Ras,18.06.21,Stramonita haemastoma,0,0
Ras,18.06.21,Stramonita haemastoma,0,0
Ras,18.06.21,Stramonita haemastoma,1,6.25
Ras,18.06.21,Stramonita haemastoma,2,12.5
Ras,18.06.21,Stramonita haemastoma,3,18.75
Ras,18.06.21,Stramonita haemastoma,2,12.5
Ras,18.06.21,Stramonita haemastoma,3,18.75
Dwejra,17.06.21,Thalassoma pavo,4,0.4
Dwejra,17.06.21,Thalassoma pavo,4,0.4
Dwejra,17.06.21,Thalassoma pavo,3,0.3
Dwejra,17.06.21,Thalassoma pavo,10,1
Dwejra,17.06.21,Thalassoma pavo,10,1
Dwejra,21.06.21,Thalassoma pavo,7,0.7
Dwejra,21.06.21,Thalassoma pavo,2,0.2
Dwejra,21.06.21,Thalassoma pavo,3,0.3
Dwejra,21.06.21,Thalassoma pavo,6,0.6
Dwejra,21.06.21,Thalassoma pavo,4,0.4
Dwejra,21.06.21,Thalassoma pavo,6,0.6
Dwejra,21.06.21,Thalassoma pavo,3,0.3
Ras,18.06.21,Thalassoma pavo,10,1
Ras,18.06.21,Thalassoma pavo,6,0.6
Ras,18.06.21,Thalassoma pavo,11,1.1
Ras,18.06.21,Thalassoma pavo,5,0.5
Ras,19.06.21,Thalassoma pavo,7,0.7
Ras,19.06.21,Thalassoma pavo,7,0.7
Ras,19.06.21,Thalassoma pavo,13,1.3
Ras,19.06.21,Thalassoma pavo,10,1
Ras,19.06.21,Thalassoma pavo,9,0.9
Ras,19.06.21,Thalassoma pavo,11,1.1
Ras,19.06.21,Thalassoma pavo,13,1.3
Ras,19.06.21,Thalassoma pavo,15,1.5
Ras,19.06.21,Thalassoma pavo,6,0.6
Ras,19.06.21,Thalassoma pavo,4,0.4
Xwejni,23.06.21,Thalassoma pavo,15,1.5
Xwejni,23.06.21,Thalassoma pavo,13,1.3
Xwejni,23.06.21,Thalassoma pavo,8,0.8
Xwejni,23.06.21,Thalassoma pavo,7,0.7
Xwejni,23.06.21,Thalassoma pavo,9,0.9
Xwejni,23.06.21,Thalassoma pavo,9,0.9
Xwejni,24.06.21,Thalassoma pavo,18,1.8
Xwejni,24.06.21,Thalassoma pavo,7,0.7
Xwejni,24.06.21,Thalassoma pavo,13,1.3
Xwejni,24.06.21,Thalassoma pavo,8,0.8
Xwejni,24.06.21,Thalassoma pavo,9,0.9
Xwejni,24.06.21,Thalassoma pavo,6,0.6
Xwejni,24.06.21,Thalassoma pavo,8,0.8
Xwejni,24.06.21,Thalassoma pavo,2,0.2