site,date,time,position,tide,lat.position,length,mass,predation,notes
Xwejni,29.05.21,17:06,-2,0.24,-1.76,22.56,5.14,1,
Xwejni,29.05.21,17:06,-0.8,0.24,-0.56,20.8,4.22,1,
Xwejni,29.05.21,17:06,-2,0.24,-1.76,21.52,4.49,1,
Xwejni,29.05.21,17:06,-2,0.24,-1.76,18.33,2.61,1,
Xwejni,29.05.21,17:06,-2,0.24,-1.76,20.17,4.01,1,
Xwejni,31.05.21,15:08,-0.23,0.17,-0.06,14.76,1.46,1,
Xwejni,31.05.21,15:08,-0.31,0.17,-0.14,13.92,1.32,1,shell occupied by Clibanarius erythropus
Xwejni,31.05.21,15:08,-2,0.17,-1.83,15.45,1.85,1,
Xwejni,31.05.21,15:08,-1.1,0.17,-0.93,14.63,1.53,1,predation by several Thalassoma pavo and one Hexaplex trunculus
Ras,02.06.21,14:55,0.2,0.14,0.34,15.58,1.98,0,
Ras,02.06.21,14:55,-0.22,0.14,-0.08,8.8,0.34,1,
Ras,02.06.21,14:55,-0.38,0.14,-0.24,10.2,0.69,0,
Ras,02.06.21,14:55,-0.25,0.14,-0.11,8.87,0.37,1,
Xwejni,05.06.21,16:07,-0.16,0.16,0,18.71,2.73,1,
Xwejni,05.06.21,16:07,-0.2,0.16,-0.04,17.43,2.71,0,
Xwejni,05.06.21,16:07,0,0.16,0.16,19.52,3.43,0,
Xwejni,05.06.21,16:07,-0.03,0.16,0.13,16.03,2.2,0,
Xwejni,05.06.21,16:07,0.13,0.16,0.29,16.38,2.38,0,
Xwejni,05.06.21,16:07,-0.09,0.16,0.07,16.12,2.14,1,
Xwejni,05.06.21,16:07,-0.19,0.16,-0.03,16.28,2.03,0,
Xwejni,05.06.21,16:07,-0.02,0.16,0.14,15.46,2.15,1,
Xwejni,05.06.21,16:07,-1.2,0.16,-1.04,15.78,2.02,1,
Dwejra,07.06.21,13:00,-1,0.29,-0.71,24.49,6.13,0,
Dwejra,07.06.21,15:44,-1.1,0.22,-0.88,23.04,5.43,0,
Dwejra,07.06.21,13:00,-0.6,0.29,-0.31,22.32,5.1,1,
Dwejra,07.06.21,13:00,-1.1,0.29,-0.81,20.99,4.69,0,
Dwejra,07.06.21,13:00,-0.4,0.29,-0.11,17.5,2.61,1,
Dwejra,07.06.21,13:00,-0.5,0.29,-0.21,24.93,6.49,0,
Xwejni,12.06.21,16:00,0.03,0.25,0.28,15.73,2.33,0,
Xwejni,12.06.21,16:00,0.19,0.25,0.44,16.26,2.13,0,
Xwejni,12.06.21,16:00,0.11,0.25,0.36,16.05,2.22,0,
Xwejni,12.06.21,16:00,0.18,0.25,0.43,16.45,2.4,0,
Xwejni,12.06.21,16:00,-0.13,0.25,0.12,18.24,3.14,0,
Xwejni,12.06.21,16:00,-1.5,0.25,-1.25,18.2,2.89,1,
Xwejni,12.06.21,16:00,-0.43,0.25,-0.18,13.69,1.2,0,
Ras,16.06.21,10:25,-0.24,0.11,-0.13,16.44,2.55,1,
Ras,16.06.21,10:25,-0.2,0.11,-0.09,15.28,2.26,0,
Ras,16.06.21,10:25,-0.14,0.11,-0.03,15.24,2.02,1,
Ras,16.06.21,10:25,-0.27,0.11,-0.16,14.33,1.85,1,
Ras,16.06.21,10:25,0.12,0.11,0.23,18.61,3.3,1,predation by two Stramonita haemastoma
Ras,16.06.21,10:25,-0.31,0.11,-0.2,15.72,2.04,0,
Ras,18.06.21,10:20,-0.24,0.18,-0.06,17.33,2.6,0,
Ras,17.06.21,12:00,-0.63,0.11,-0.52,14.59,2.01,1,
Ras,17.06.21,12:00,-0.39,0.11,-0.28,15.08,1.73,1,
Ras,18.06.21,10:20,-0.53,0.18,-0.35,14.04,1.73,0,
Ras,18.06.21,10:20,-0.2,0.18,-0.02,18.96,3.08,1,predation by one Stramonita haemastoma
Ras,18.06.21,10:20,-0.17,0.18,0.01,14.51,1.88,1,
Ras,18.06.21,10:20,-0.07,0.18,0.11,17.39,2.23,1,
Ras,17.06.21,12:00,-0.17,0.11,-0.06,14.38,1.84,0,
Ras,18.06.21,13:15,0.72,0.12,0.84,15.52,2.2,0,
Ras,18.06.21,13:15,-0.7,0.12,-0.58,15.82,2.11,1,
Ras,18.06.21,13:15,0.68,0.12,0.8,16.89,2.5,0,
Ras,18.06.21,13:15,-1.8,0.12,-1.68,17.18,2.81,1,
Ras,18.06.21,13:15,0.63,0.12,0.75,16.51,2.36,0,
Ras,18.06.21,13:15,-2.6,0.12,-2.48,16.78,2.36,1,predation by one Hermodice carunculata and one Coscinasterias tenuispina
Ras,18.06.21,13:15,-1.2,0.12,-1.08,16.73,2.66,1,
Ras,18.06.21,13:15,-1.4,0.12,-1.28,12.04,1.01,1,
Dwejra,22.06.21,11:25,-3,0.22,-2.78,16.94,2.85,1,
Dwejra,21.06.21,11:25,0.26,0.24,0.5,14.09,1.67,0,
Dwejra,21.06.21,11:25,0.39,0.24,0.63,18.05,3.34,0,
Dwejra,21.06.21,11:25,-2.9,0.24,-2.66,9.69,0.6,0,
Dwejra,21.06.21,11:25,-5.1,0.24,-4.86,11.9,1.11,1,
Dwejra,21.06.21,11:25,-0.7,0.24,-0.46,15.8,2.13,1,
Dwejra,21.06.21,11:25,-6,0.24,-5.76,15.98,2.27,0,
Dwejra,21.06.21,11:25,-3.6,0.24,-3.36,17.53,2.79,1,
Xwejni,23.06.21,15:40,-0.25,0.22,-0.03,20.33,4.83,1,
Xwejni,23.06.21,15:40,0.13,0.22,0.35,19.29,4.16,0,
Xwejni,23.06.21,15:40,0.02,0.22,0.24,17.89,3.34,0,
Xwejni,23.06.21,15:40,-0.28,0.22,-0.06,18.5,3.7,0,
Xwejni,23.06.21,15:40,-4.2,0.22,-3.98,18.11,3.39,1,
Xwejni,23.06.21,15:40,-2.2,0.22,-1.98,17.98,3.23,1,
Xwejni,23.06.21,15:40,-1.3,0.22,-1.08,19.34,3.71,1,predation by four Episcomitra cornicula
Xwejni,23.06.21,15:40,-5.7,0.22,-5.48,13,1.2,1,
Xwejni,23.06.21,15:40,-2.4,0.22,-2.18,16.9,3.27,1,
Xwejni,23.06.21,15:40,-0.6,0.22,-0.38,20.97,4.92,1,
Xwejni,23.06.21,15:40,-0.8,0.22,-0.58,16.6,2.56,1,
Dwejra,25.06.21,16:07,-2.5,0.24,-2.26,15.98,2.18,1,shell occupied by Pagurus anachoretus
Dwejra,25.06.21,16:07,-0.6,0.24,-0.36,13.95,1.76,1,
Dwejra,25.06.21,16:07,-4,0.24,-3.76,18.14,3.31,1,
Dwejra,25.06.21,16:07,-4.7,0.24,-4.46,18.45,3.53,1,predation by one Hexaplex trunculus
Dwejra,25.06.21,16:07,-1.2,0.24,-0.96,15.04,2.11,1,predation by one Hermodice carunculata
Dwejra,25.06.21,16:07,-4.1,0.24,-3.86,13.03,1.12,1,
Ras,26.06.21,15:05,-4.1,0.24,-3.86,9,0.51,1,
Ras,26.06.21,15:05,-3.1,0.24,-2.86,18.21,2.95,1,
Ras,26.06.21,15:05,-3.3,0.24,-3.06,15.87,2.4,1,predation by three Episcomitra cornicula
Ras,26.06.21,15:05,-2.4,0.24,-2.16,17.09,2.53,1,
Ras,26.06.21,15:05,-5.2,0.24,-4.96,18.11,3.28,1,
Dwejra,26.06.21,15:46,-1.5,0.25,-1.25,16.11,2.33,1,predation by one Hermodice carunculata
Dwejra,26.06.21,15:46,-0.7,0.25,-0.45,15.5,1.89,0,
Dwejra,26.06.21,15:46,-5.5,0.25,-5.25,15.42,1.98,1,shell occupied by Pagurus anachoretus
Dwejra,26.06.21,15:46,-5.4,0.25,-5.15,16.74,2.59,1,predation by one Hexaplex trunculus
Dwejra,26.06.21,15:46,-0.1,0.25,0.15,10.68,0.72,1,
Dwejra,26.06.21,15:46,-0.6,0.25,-0.35,11.81,0.9,0,
Dwejra,27.06.21,16:49,-4.5,0.23,-4.27,17.69,2.82,1,predation by one Hexaplex trunculus
Dwejra,27.06.21,16:49,-1.8,0.23,-1.57,9.92,0.56,1,
Dwejra,27.06.21,16:49,-2.4,0.23,-2.17,14.89,1.68,1,
Dwejra,27.06.21,16:49,-9.2,0.23,-8.97,17.58,2.59,0,
Dwejra,27.06.21,16:49,-0.9,0.23,-0.67,16.15,2.36,1,
Dwejra,27.06.21,16:49,-4.8,0.23,-4.57,14.43,1.76,1,shell occupied by Pagurus anachoretus
Dwejra,27.06.21,16:49,-6.8,0.23,-6.57,14.78,1.9,1,